id,name,brand,slug,description,price,original_price,image,images,category,in_stock,is_bestseller,motor_power,battery_capacity,max_range,top_speed,weight,max_load,frame_type,features,created_at,stock_quantity,rider_height,in_the_box
"600382aa-7fd0-47a5-b448-54217b32e632","DYU D3F Electric Bike","DYU","dyu-d3f","Tiny footprint, big personality. The DYU D3F folds down to fit under train seats or in tight cupboards, yet still packs a capable 250W motor and 36V 10Ah battery for journeys up to 40 km on a single charge. The 14-inch wheels keep the overall size minimal, while the lightweight frame makes carrying it upstairs a breeze. Ideal for last-mile commuters or students hopping between campuses.","379.99","399.99","https://www.ozeco.co.uk/products/dyu-d3f/1.png","[""https://www.ozeco.co.uk/products/dyu-d3f/1.png"",""https://www.ozeco.co.uk/products/dyu-d3f/2.png"",""https://www.ozeco.co.uk/products/dyu-d3f/3.png""]","Electric Folding Bikes","false","false","250W","36V 10Ah","40 km","25 km/h","17.2kg","100 kg",,"[""250W Motor"",""Foldable Design"",""14 Inch Wheels"",""Lightweight Frame""]","""2025-11-13T21:01:51.136Z""","0","5'1"" - 5'11"" (155-180 cm)","[]"
"2848cc9b-4992-45a8-a8db-b8705ad48558","DYU A1F Pro Electric Bike","DYU","dyu-a1f-pro","Smart, space-saving electric bike designed for everyday urban commuting. With 250W motor, pedal assist, and foldable aluminium frame.","399.99","449.99","https://www.ozeco.co.uk/products/dyu-a1f-pro/1.png","[""https://www.ozeco.co.uk/products/dyu-a1f-pro/1.png"",""https://www.ozeco.co.uk/products/dyu-a1f-pro/2.png"",""https://www.ozeco.co.uk/products/dyu-a1f-pro/3.png""]","Folding","true","true","250W","36V 7.5Ah","45 km","25 km/h","22 kg","75 kg",,"[""250W Brushless Motor"",""36V Lithium Battery"",""Foldable Frame"",""Front and Rear Lights"",""Rear Cargo Rack""]","""2025-11-13T21:01:23.970Z""","3","5'0"" - 5'8"" (150-173 cm)","[]"
"9a7fe494-eeaf-4b47-939d-233bfbd01cff","Fiido D3 Pro","Fiido","fiido-d3-pro","Small on price, big on convenience. The Fiido D3 Pro is one of the most compact Electric bikes on the market, folding down in moments and sliding easily into car boots or under office desks. The 250W motor handles gentle inclines, and the 36V 7.8Ah battery covers up to 35 km on a single charge - ideal for quick dashes around town. An LED display keeps you informed, while the ultra-light build makes it a joy to carry.","439.99","529.99","https://www.ozeco.co.uk/products/fiido-d3-pro/1.png","[""https://www.ozeco.co.uk/products/fiido-d3-pro/1.png"",""https://www.ozeco.co.uk/products/fiido-d3-pro/2.png"",""https://www.ozeco.co.uk/products/fiido-d3-pro/3.png""]","Electric Folding Bikes","true","false","250W","36V 7.8Ah","35 km","25 km/h","17.3kg","100 kg",,"[""250W Motor"",""Ultra Compact"",""Quick Fold"",""LED Display""]","""2025-11-13T21:01:51.150Z""","10","4'11"" - 6'1"" (150-185 cm)","[]"
"19a9dd64-b011-44ed-b627-3347d950e1c4","ENGWE Engine X Electric Bike","ENGWE","engwe-engine-x","Versatile, foldable electric bike designed for both urban travel and off-road adventure. With powerful 250W motor, all-terrain fat tyres, and front and rear suspension.","899.99","919.99","/products/engwe-engine-x/1.png","[""/products/engwe-engine-x/1.png"",""/products/engwe-engine-x/2.png"",""/products/engwe-engine-x/3.png""]","Folding","true","false","250W","48V 13Ah","90-100 km","25 km/h","30.1 kg","150 kg",,"[""250W Brushless Motor"",""Removable 48V Battery"",""Fat 20x4.0 Tyres"",""7-Speed Shimano"",""LCD Dashboard"",""Folding Frame""]","""2025-11-13T21:01:23.971Z""","10","5'4"" - 6'2"" (163-188 cm)","[]"
"2865bc55-4d48-461f-9ac3-0db1460783f8","Eleglide M1 Plus Electric Bike","Eleglide","eleglide-m1-plus","Trusted engineering at a remarkable price. The Eleglide M1 Plus punches well above its weight with a smooth 250W motor, Shimano 7-speed gears, hydraulic suspension and reliable disc brakes. Choose between 27.5-inch (21.7 kg, 100 kg max load, rider height 165-195 cm) or 29-inch (22.8 kg, 120 kg max load, rider height 165-200 cm) wheels to suit your riding style, and enjoy up to 100 km on a single charge in assist mode. Available in two frame sizes with comfortable geometry, this is the smart choice for daily commutes and weekend explorations alike.","499.99","519.99","https://www.ozeco.co.uk/products/eleglide-m1-plus/1.png","[""https://www.ozeco.co.uk/products/eleglide-m1-plus/1.png"",""https://www.ozeco.co.uk/products/eleglide-m1-plus/2.png"",""https://www.ozeco.co.uk/products/eleglide-m1-plus/3.png""]","Mountain","true","true","250W","36V 12.5Ah","100 km","25 km/h","27.5"" - 21.7kg, 29"" - 22.8kg","100 kg (27"") / 120 kg (29"")",,"[""250W Motor, 36V"",""Shimano 7-Speed"",""Hydraulic Suspension"",""Front & Rear Disc Brakes"",""50 km Electric / 100 km Assist Range"",""LED Display"",""Removable Battery"",""Max Load 120 kg (29\"") / 100 kg (27\"")""]","""2025-11-13T21:01:23.998Z""","6","5'5"" - 6'7"" (165-200 cm)","[]"
"ad931533-71ec-4192-bbfe-2f640401b177","ENGWE T14 Electric Bike","ENGWE","engwe-t14","Slim, stylish, and wallet-friendly. The ENGWE T14 is purpose-built for city streets, weighing in light enough to carry up a flight of stairs yet sturdy enough for daily use. Its 250W motor and 36V 10Ah battery deliver up to 50 km on a single charge - plenty for the average commute and back. LED lights front and rear, plus a comfort saddle, round out a package that proves practical cycling need not cost a fortune.","474.99","494.99","/products/engwe-t14/2.png","[""/products/engwe-t14/2.png"",""/products/engwe-t14/3.png"",""/products/engwe-t14/4.png""]","Folding","false","false","250W","36V 10Ah","50 km","25 km/h","22.7kg","120 kg",,"[""250W Motor"",""Lightweight Frame"",""LED Lights"",""Comfort Saddle""]","""2025-11-13T21:01:37.327Z""","0","5'1"" - 6'5"" (155-195 cm)","[]"
"fe5d310f-8758-42c4-a651-adea08706e9a","ENGWE L20 3.0 Boost","ENGWE","engwe-l20","The workhorse of the family. With its step-through frame and sturdy cargo rack, the ENGWE L20 3.0 Boost makes school runs, shopping trips, and food deliveries effortless. The 350W motor and 48V 13Ah battery provide up to 80 km on a single charge, while puncture-resistant tyres minimise roadside hassle. Practical, reliable, and built to carry - this is everyday mobility done right.","999.99","1049.99","/products/engwe-l20/1.webp","[""/products/engwe-l20/1.webp"",""/products/engwe-l20/2.webp""]","City","true","false","350W","48V 13Ah","80 km","25 km/h","33.2kg","120 kg",,"[""350W Motor"",""Cargo Rack"",""Step-Through Frame"",""Puncture-Resistant Tires""]","""2025-11-13T21:01:37.359Z""","5","5'1"" - 6'3"" (155-190 cm)","[]"
"00b6dea8-85bd-45bc-a2fc-c7095b2c1e23","ENGWE Engine Pro 2.0 Electric Bike","ENGWE","engwe-engine-pro-2-0","Unstoppable adventure starts here. The ENGWE Engine Pro 2.0 packs a mighty 750W motor and a massive 48V 16Ah battery that pushes your range up to 110 km on a single charge. Full suspension front and rear cushions every bump, while chunky fat tyres grip loose terrain with authority. Fold it flat for transport, unfold it for freedom - this is premium off-road capability that travels with you.","1129.99","1410.00","/products/engwe-engine-pro-2-0/1.png","[""/products/engwe-engine-pro-2-0/1.png"",""/products/engwe-engine-pro-2-0/2.png"",""/products/engwe-engine-pro-2-0/3.png""]","Folding","true","false","750W","48V 16Ah","110 km","28 mph","31.6kg","120 kg",,"[""750W Motor"",""Fat Tires"",""Full Suspension"",""LCD Display"",""Long Range Battery""]","""2025-11-13T21:01:37.329Z""","8","5'4"" - 6'2"" (162-188 cm)","[]"
"85fbd8c2-0502-46c9-a2e7-464010a1fc65","Touroll J1 Electric Bike","Touroll","touroll-j1","Commuting redefined. The Touroll J1 combines a capable motor with a long-lasting 36V 15.6Ah battery for up to 100 km on a single charge in assist mode — enough for a whole week of commutes without plugging in. Five pedal assist levels (12/15/18/21/25 km/h), walk mode at 6 km/h, and a 27.5"" frame sized for riders from 160-200 cm make it supremely versatile. Hydraulic brakes deliver precise, fade-free stopping, and a smart display keeps speed, distance, and battery level always in view.","599.99","619.99","https://www.ozeco.co.uk/products/touroll-j1/1.png","[""https://www.ozeco.co.uk/products/touroll-j1/1.png"",""https://www.ozeco.co.uk/products/touroll-j1/2.png"",""https://www.ozeco.co.uk/products/touroll-j1/3.png""]","Electric Commuter Bikes","true","false","350W","36V 15.6Ah","100 km","25 km/h","26.9kg","120 kg",,"[""36V 15.6Ah Battery"",""100 km Assist Range"",""5 PAS Levels"",""Walk Mode (6 km/h)"",""Hydraulic Brakes"",""Smart Display"",""27.5\"" Frame""]","""2025-11-13T21:02:03.470Z""","10","5'3"" - 6'7"" (160-200 cm)","[]"
"dd80fb34-cedf-4c58-8fd5-2846d85171e4","Touroll J1 ST Electric Bike","Touroll","touroll-j1-st","Hop on, hop off — no fuss. The Touroll J1 ST features a low step-through frame that makes mounting and dismounting a doddle, whatever you are wearing. Under the elegant exterior sits a 250W motor and 36V 15.6Ah battery good for up to 100 km on a single charge in assist mode. With a 120 kg max load capacity, 6-8 hour charge time, comfortable saddle, and integrated rear rack, this is the go-to choice for effortless everyday riding. Recommended rider height 155-195 cm.","619.99","639.99","https://www.ozeco.co.uk/products/touroll-j1-st/1.png","[""https://www.ozeco.co.uk/products/touroll-j1-st/1.png"",""https://www.ozeco.co.uk/products/touroll-j1-st/2.png"",""https://www.ozeco.co.uk/products/touroll-j1-st/3.png""]","Electric Commuter Bikes","false","false","250W","36V 15.6Ah","100 km","25 km/h","26 kg","120 kg",,"[""250W Motor"",""36V 15.6Ah Battery"",""100 km Assist Range"",""Step-Through Frame"",""Max Load 120 kg"",""6-8 Hour Charging"",""Comfort Saddle"",""Integrated Rack"",""25 km/h Max Speed""]","""2025-11-13T21:02:03.496Z""","0","5'1"" - 6'5"" (155-195 cm)","[]"
